DEPTH,GR,SGR
490.2708,81.6672,0.3107879238527879
490.4232,84.9783,0.3283402403216357
490.5756,86.0515,0.33402933036251864
490.728,85.991,0.33370861665820123
490.8804,87.8603,0.34361787496366375
491.0328,90.7955,0.35917752562337263
491.1852,91.1189,0.36089188615190554
491.3376,89.2509,0.3509895192152961
491.49,89.329,0.3514035314517785
491.6424,91.7929,0.36446479584959013
491.7948,93.5876,0.373978595603944
491.9472,93.509,0.37356193284097955
492.0996,93.3545,0.3727429201580534
492.252,93.6397,0.3742547804633644
492.4044,93.0107,0.3709204181490564
492.5568,91.6803,0.36386789728585234
492.7092,91.0086,0.3603071800099848
492.8616,90.6482,0.3583966805217867
493.014,90.9775,0.36014231726280677
493.1664,92.7767,0.36967997175549827
493.3188,93.996,0.3761435456344104
493.4712,91.3592,0.3621657291791364
493.6236,85.172,0.3293670542807477
493.776,82.9326,0.317495876273337
493.9284,87.9395,0.3440377183584065
494.0808,93.4721,0.3733663239866108
494.2332,94.4103,0.37833977187736406
494.3856,91.7317,0.364140371408198
494.538,89.0781,0.3500734972631301
494.6904,88.2063,0.3454520392891814
494.8428,88.3558,0.346244546707288
494.9952,88.2026,0.3454324253932149
495.1476,86.6402,0.3371500602423805
495.3,85.9501,0.3334918035919768
495.4524,87.3322,0.3408183888934157
495.6048,89.363,0.3515837672525519
495.7572,91.4633,0.3627175687926809
495.9096,91.9582,0.36534105990452675
496.062,91.6968,0.36395536465975703
496.2144,92.6412,0.3689616790788866
496.3668,93.702,0.37458503606301685
496.5192,94.5433,0.37904481192156586
496.6716,94.8557,0.3807008608674956
496.824,93.3836,0.37289718079930356
496.9764,90.7364,0.3588642333932048
497.1288,87.7752,0.3431667553564339
497.2812,85.2815,0.32994751958029733
497.4336,84.8798,0.32781808660468925
497.586,87.5905,0.3421876508739972
497.7384,91.8132,0.36457240722475776
497.8908,93.7124,0.3746401670138417
498.0432,93.6636,0.3743814756292022
498.1956,94.1032,0.376711818512143
498.348,94.5234,0.37893932096758376
498.5004,94.9436,0.38116682342302455
498.6528,95.4077,0.3836270421035815
498.8052,94.9262,0.3810745851014522
498.9576,92.1742,0.3664860873447342
499.11,89.4543,0.3520677533881582
499.2624,89.858,0.3542077884696942
499.4148,91.1359,0.3609820040522923
499.5672,91.9564,0.36533151800919167
499.7196,90.9929,0.3602239534784512
499.872,87.5786,0.34212456834372645
500.0244,85.3611,0.3303694833962257
500.1768,84.6896,0.3268098263309509
500.3292,83.9603,0.3229437684043614
500.4816,84.0444,0.32338958695862735
500.634,84.8587,0.3277062343871504
